"tcs_customer_id";"bad";"sample_type"
1;NA;"test"
2;0;"train"
3;1;"train"
4;0;"train"
5;0;"train"
6;0;"train"
7;0;"train"
8;0;"train"
9;0;"train"
10;1;"train"
11;NA;"test"
12;0;"train"
13;NA;"test"
14;0;"train"
15;0;"train"
16;1;"train"
17;0;"train"
18;0;"train"
19;0;"train"
20;0;"train"
21;NA;"test"
22;NA;"test"
23;0;"train"
24;0;"train"
25;0;"train"
26;NA;"test"
27;0;"train"
28;0;"train"
29;0;"train"
30;1;"train"
31;NA;"test"
32;0;"train"
33;0;"train"
34;0;"train"
35;0;"train"
36;0;"train"
37;0;"train"
38;0;"train"
39;0;"train"
40;0;"train"
41;0;"train"
42;0;"train"
43;0;"train"
44;0;"train"
45;0;"train"
46;0;"train"
47;0;"train"
48;NA;"test"
49;0;"train"
50;0;"train"
51;0;"train"
52;0;"train"
53;0;"train"
54;0;"train"
55;NA;"test"
56;0;"train"
57;NA;"test"
58;0;"train"
59;1;"train"
60;0;"train"
61;0;"train"
62;0;"train"
63;1;"train"
64;1;"train"
65;0;"train"
66;0;"train"
67;NA;"test"
68;NA;"test"
69;NA;"test"
70;0;"train"
71;0;"train"
72;NA;"test"
73;1;"train"
74;0;"train"
75;0;"train"
76;0;"train"
77;0;"train"
78;0;"train"
79;0;"train"
80;0;"train"
81;0;"train"
82;NA;"test"
83;0;"train"
84;0;"train"
85;0;"train"
86;NA;"test"
87;1;"train"
88;1;"train"
89;NA;"test"
90;0;"train"
91;0;"train"
92;NA;"test"
93;NA;"test"
94;NA;"test"
95;0;"train"
96;NA;"test"
97;0;"train"
98;0;"train"
99;NA;"test"
100;0;"train"
101;0;"train"
102;0;"train"
103;NA;"test"
104;0;"train"
105;0;"train"
106;0;"train"
107;NA;"test"
108;0;"train"
109;0;"train"
110;0;"train"
111;0;"train"
112;NA;"test"
113;0;"train"
114;0;"train"
115;1;"train"
116;0;"train"
117;0;"train"
118;0;"train"
119;NA;"test"
120;0;"train"
121;0;"train"
122;0;"train"
123;NA;"test"
124;0;"train"
125;0;"train"
126;NA;"test"
127;0;"train"
128;0;"train"
129;0;"train"
130;NA;"test"
131;0;"train"
132;0;"train"
133;0;"train"
134;0;"train"
135;0;"train"
136;NA;"test"
137;0;"train"
138;0;"train"
139;NA;"test"
140;1;"train"
141;NA;"test"
142;NA;"test"
143;0;"train"
144;NA;"test"
145;0;"train"
146;0;"train"
147;0;"train"
148;NA;"test"
149;0;"train"
150;0;"train"
151;0;"train"
152;NA;"test"
153;0;"train"
154;1;"train"
155;1;"train"
156;0;"train"
157;0;"train"
158;0;"train"
159;NA;"test"
160;NA;"test"
161;0;"train"
162;0;"train"
163;0;"train"
164;NA;"test"
165;0;"train"
166;NA;"test"
167;0;"train"
168;NA;"test"
169;0;"train"
170;0;"train"
171;NA;"test"
172;0;"train"
173;NA;"test"
174;NA;"test"
175;0;"train"
176;NA;"test"
177;0;"train"
178;0;"train"
179;0;"train"
180;0;"train"
181;NA;"test"
182;0;"train"
183;0;"train"
184;NA;"test"
185;0;"train"
186;0;"train"
187;1;"train"
188;0;"train"
189;0;"train"
190;NA;"test"
191;0;"train"
192;NA;"test"
193;0;"train"
194;1;"train"
195;0;"train"
196;0;"train"
197;1;"train"
